Sex_Code_Text,Ethnic_Code_Text,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,RecSupervisionLevelText,RawScore,DecileScore,ScoreText,Age
0,1,5,0,4,1,1,15.0,1,1,56
0,1,5,0,4,2,2,-2.2,4,1,56
0,1,5,0,4,2,2,-0.57,6,2,56
0,1,5,0,4,2,2,18.0,3,1,56
1,1,5,0,1,1,1,-3.63,1,1,56
1,1,5,0,1,1,1,-2.11,1,1,56
1,1,5,0,1,1,1,18.0,3,1,56
1,4,5,0,4,1,1,-2.28,3,1,56
1,4,5,0,4,1,1,-1.29,2,1,56
1,4,5,0,4,1,1,13.0,1,1,56
1,4,5,0,4,1,1,-1.98,4,1,56
1,4,5,0,4,1,1,-0.36,5,2,56
1,4,5,0,4,1,1,18.0,3,1,56
1,4,4,4,4,1,1,-3.0,1,1,56
1,4,4,4,4,1,1,-0.75,3,1,56
1,4,4,4,4,1,1,13.0,1,1,56
1,1,4,4,4,1,1,-3.52,1,1,56
1,1,4,4,4,1,1,-1.54,1,1,56
1,1,4,4,4,1,1,13.0,1,1,56
1,1,5,0,1,2,2,-1.99,4,1,56
1,1,5,0,1,2,2,-0.02,7,2,56
1,1,5,0,1,2,2,18.0,3,1,56
1,8,5,0,4,4,0,-0.89,9,0,56
1,8,5,0,4,4,0,0.79,10,0,56
1,8,5,0,4,4,0,18.0,3,1,56
0,4,5,0,4,1,1,-2.62,2,1,56
0,4,5,0,4,1,1,-0.9,4,1,56
0,4,5,0,4,1,1,14.0,1,1,56
1,4,5,0,4,1,1,-2.33,3,1,56
1,4,5,0,4,1,1,-1.18,2,1,56
1,4,5,0,4,1,1,16.0,2,1,56
0,1,5,0,4,1,1,-3.23,1,1,56
0,1,5,0,4,1,1,-1.79,1,1,56
0,1,5,0,4,1,1,14.0,1,1,56
1,1,5,0,4,4,0,-0.15,10,0,56
1,1,5,0,4,4,0,0.31,9,0,56
1,1,5,0,4,4,0,28.0,8,0,56
1,4,4,4,4,2,2,-2.8,2,1,56
1,4,4,4,4,2,2,0.0,7,2,56
1,4,4,4,4,2,2,21.0,4,1,56
1,1,5,0,4,3,3,-1.87,5,2,56
1,1,5,0,4,3,3,0.48,9,0,56
1,1,5,0,4,3,3,20.0,3,1,56
1,4,4,4,4,4,0,-1.18,8,0,56
1,4,4,4,4,4,0,0.49,9,0,56
1,4,4,4,4,4,0,24.0,6,2,56
1,1,4,4,4,3,3,-1.36,7,2,56
1,1,4,4,4,3,3,0.57,9,0,56
1,1,4,4,4,3,3,22.0,5,2,56
1,1,5,0,4,3,3,-2.09,4,1,56
1,1,5,0,4,3,3,0.41,9,0,56
1,1,5,0,4,3,3,14.0,1,1,56
0,4,5,0,4,3,3,-2.4,3,1,56
0,4,5,0,4,3,3,-0.11,8,0,56
0,4,5,0,4,3,3,25.0,7,2,56
1,1,5,2,4,1,1,-2.94,2,1,56
1,1,5,2,4,1,1,-1.56,1,1,56
1,1,5,2,4,1,1,18.0,3,1,56
1,4,5,5,1,1,1,-4.28,1,1,56
1,4,5,5,1,1,1,-2.61,1,1,56
1,4,5,5,1,1,1,11.0,1,1,56
1,5,5,0,4,2,2,-1.62,6,2,56
1,5,5,0,4,2,2,-0.26,6,2,56
1,5,5,0,4,2,2,16.0,2,1,56
0,4,5,0,4,1,1,-3.14,1,1,56
0,4,5,0,4,1,1,-1.9,1,1,56
0,4,5,0,4,1,1,17.0,2,1,56
1,1,5,0,4,1,1,-2.3,3,1,56
1,1,5,0,4,1,1,-1.01,2,1,56
1,1,5,0,4,1,1,15.0,1,1,56
1,1,5,0,4,2,2,-1.88,5,2,56
1,1,5,0,4,2,2,-0.17,6,2,56
1,1,5,0,4,2,2,13.0,1,1,56
1,4,4,4,0,1,1,-3.91,1,1,56
1,4,4,4,0,1,1,-1.0,3,1,56
1,4,4,4,0,1,1,17.0,2,1,56
1,4,4,4,4,1,1,-2.22,4,1,56
1,4,4,4,4,1,1,-0.47,5,2,56
1,4,4,4,4,1,1,20.0,3,1,56
0,1,5,0,4,3,3,-1.38,7,2,56
0,1,5,0,4,3,3,0.14,9,0,56
0,1,5,0,4,3,3,17.0,2,1,56
1,1,5,0,4,2,2,-2.51,3,1,56
1,1,5,0,4,2,2,-0.06,7,2,56
1,1,5,0,4,2,2,25.0,6,2,56
1,1,0,4,4,4,0,-1.21,8,0,56
1,1,0,4,4,4,0,0.5,9,0,56
1,1,0,4,4,4,0,20.0,3,1,56
0,1,5,0,4,1,1,-3.86,1,1,56
0,1,5,0,4,1,1,-1.92,1,1,56
0,1,5,0,4,1,1,14.0,1,1,56
1,8,5,0,1,1,1,-2.85,2,1,56
1,8,5,0,1,1,1,-1.41,1,1,56
1,8,5,0,1,1,1,13.0,1,1,56
1,4,5,2,4,1,1,-2.44,3,1,56
1,4,5,2,4,1,1,-0.93,3,1,56
1,4,5,2,4,1,1,24.0,6,2,56
0,1,5,0,4,2,2,-2.38,3,1,56
0,1,5,0,4,2,2,-0.53,6,2,56
0,1,5,0,4,2,2,27.0,8,0,56
1,4,5,0,4,4,0,-0.89,9,0,56
1,4,5,0,4,4,0,0.37,9,0,56
1,4,5,0,4,4,0,19.0,3,1,56
1,1,5,0,4,2,2,-1.66,6,2,56
1,1,5,0,4,2,2,-0.25,6,2,56
1,1,5,0,4,2,2,23.0,5,2,56
1,1,5,0,0,2,2,-2.21,4,1,56
1,1,5,0,0,2,2,-0.29,6,2,56
1,1,5,0,0,2,2,17.0,2,1,56
1,1,5,0,4,4,0,-0.77,9,0,56
1,1,5,0,4,4,0,0.32,9,0,56
1,1,5,0,4,4,0,20.0,3,1,56
1,4,4,4,4,1,1,-3.49,1,1,56
1,4,4,4,4,1,1,-1.44,1,1,56
1,4,4,4,4,1,1,20.0,3,1,56
1,1,4,4,4,1,1,-2.97,1,1,56
1,1,4,4,4,1,1,-0.94,3,1,56
1,1,4,4,4,1,1,21.0,4,1,56
1,1,5,0,4,1,1,-2.89,2,1,56
1,1,5,0,4,1,1,-1.36,2,1,56
1,1,5,0,4,1,1,16.0,2,1,56
0,5,5,0,0,1,1,-3.46,1,1,56
0,5,5,0,0,1,1,-1.69,1,1,56
0,5,5,0,0,1,1,11.0,1,1,56
1,1,5,0,1,1,1,-3.37,1,1,56
1,1,5,0,1,1,1,-1.87,1,1,56
1,1,5,0,1,1,1,13.0,1,1,56
1,5,5,0,4,1,1,-1.98,4,1,56
1,5,5,0,4,1,1,-0.47,5,2,56
1,5,5,0,4,1,1,20.0,3,1,56
0,1,4,4,4,1,1,-2.6,2,1,56
0,1,4,4,4,1,1,-0.8,5,2,56
0,1,4,4,4,1,1,14.0,1,1,56
1,1,5,0,1,1,1,-3.47,1,1,56
1,1,5,0,1,1,1,-1.63,1,1,56
1,1,5,0,1,1,1,11.0,1,1,56
1,4,5,0,1,1,1,-3.93,1,1,56
1,4,5,0,1,1,1,-2.33,1,1,56
1,4,5,0,1,1,1,13.0,1,1,56
1,4,4,4,0,1,1,-4.16,1,1,56
1,4,4,4,0,1,1,-1.57,1,1,56
1,4,4,4,0,1,1,15.0,1,1,56
1,1,5,0,4,1,1,-2.6,2,1,56
1,1,5,0,4,1,1,-1.31,2,1,56
1,1,5,0,4,1,1,21.0,4,1,56
0,4,5,2,4,1,1,-2.18,4,1,56
0,4,5,2,4,1,1,-1.13,3,1,56
0,4,5,2,4,1,1,15.0,1,1,56
1,5,5,0,1,1,1,-2.64,2,1,56
1,5,5,0,1,1,1,-0.95,3,1,56
1,5,5,0,1,1,1,18.0,3,1,56
1,1,5,0,4,2,2,-1.64,6,2,56
1,1,5,0,4,2,2,-0.06,7,2,56
1,1,5,0,4,2,2,20.0,3,1,56
1,1,5,0,4,1,1,-2.24,3,1,56
1,1,5,0,4,1,1,-0.43,5,2,56
1,1,5,0,4,1,1,15.0,1,1,56
1,4,5,0,1,1,1,-3.73,1,1,56
1,4,5,0,1,1,1,-2.37,1,1,56
1,4,5,0,1,1,1,12.0,1,1,56
1,1,5,0,4,2,2,-1.42,7,2,56
1,1,5,0,4,2,2,-0.2,6,2,56
1,1,5,0,4,2,2,14.0,1,1,56
1,4,5,2,4,1,1,-3.19,1,1,56
1,4,5,2,4,1,1,-1.18,2,1,56
1,4,5,2,4,1,1,21.0,4,1,56
1,1,5,0,4,1,1,-2.32,3,1,56
1,1,5,0,4,1,1,-1.09,2,1,56
1,1,5,0,4,1,1,18.0,3,1,56
0,1,4,4,4,1,1,-2.45,3,1,56
0,1,4,4,4,1,1,-0.65,5,2,56
0,1,4,4,4,1,1,20.0,4,1,56
1,8,5,0,4,1,1,-2.82,2,1,56
1,8,5,0,4,1,1,-1.43,1,1,56
1,8,5,0,4,1,1,16.0,2,1,56
1,1,4,4,4,3,3,-2.23,4,1,56
1,1,4,4,4,3,3,0.17,8,0,56
1,1,4,4,4,3,3,28.0,8,0,56
0,1,2,4,4,1,1,-2.71,2,1,56
0,1,2,4,4,1,1,-0.84,4,1,56
0,1,2,4,4,1,1,16.0,2,1,56
1,1,5,0,4,4,0,-0.95,9,0,56
1,1,5,0,4,4,0,0.95,10,0,56
1,1,5,0,4,4,0,27.0,7,2,56
1,4,4,4,4,2,2,-2.5,3,1,56
1,4,4,4,4,2,2,-0.01,7,2,56
1,4,4,4,4,2,2,27.0,7,2,56
0,4,5,0,4,1,1,-2.97,1,1,56
0,4,5,0,4,1,1,-1.2,3,1,56
0,4,5,0,4,1,1,29.0,9,0,56
1,4,5,2,4,3,3,-1.45,7,2,56
1,4,5,2,4,3,3,0.35,9,0,56
1,4,5,2,4,3,3,28.0,8,0,56
1,1,5,2,4,1,1,-2.15,4,1,56
1,1,5,2,4,1,1,-0.81,3,1,56
1,1,5,2,4,1,1,17.0,2,1,56
1,1,5,0,4,3,3,-0.93,9,0,56
1,1,5,0,4,3,3,0.08,7,2,56
1,1,5,0,4,3,3,33.0,9,0,56
1,8,4,4,4,1,1,-3.24,1,1,56
1,8,4,4,4,1,1,-1.39,1,1,56
1,8,4,4,4,1,1,14.0,1,1,56
1,1,5,0,4,1,1,-2.58,2,1,56
1,1,5,0,4,1,1,-0.51,5,2,56
1,1,5,0,4,1,1,27.0,7,2,56
0,4,4,4,4,2,2,-2.48,3,1,56
0,4,4,4,4,2,2,-0.36,7,2,56
0,4,4,4,4,2,2,25.0,7,2,56
1,1,4,4,4,2,2,-1.7,6,2,56
1,1,4,4,4,2,2,-0.11,6,2,56
1,1,4,4,4,2,2,13.0,1,1,56
1,3,5,0,4,3,3,-1.68,6,2,56
1,3,5,0,4,3,3,0.09,8,0,56
1,3,5,0,4,3,3,23.0,5,2,56
1,1,5,0,4,1,1,-2.63,2,1,56
1,1,5,0,4,1,1,-1.42,1,1,56
1,1,5,0,4,1,1,16.0,2,1,56
1,5,5,0,4,1,1,-2.52,3,1,56
1,5,5,0,4,1,1,-1.14,2,1,56
1,5,5,0,4,1,1,19.0,3,1,56
1,1,5,0,4,2,2,-1.29,7,2,56
1,1,5,0,4,2,2,-0.08,7,2,56
1,1,5,0,4,2,2,21.0,4,1,56
1,4,4,4,4,1,1,-3.32,1,1,56
1,4,4,4,4,1,1,-0.49,5,2,56
1,4,4,4,4,1,1,19.0,3,1,56
1,1,5,0,4,3,3,-1.9,5,2,56
1,1,5,0,4,3,3,0.3,8,0,56
1,1,5,0,4,3,3,19.0,3,1,56
1,1,5,0,4,1,1,-2.51,3,1,56
1,1,5,0,4,1,1,-0.45,5,2,56
1,1,5,0,4,1,1,17.0,2,1,56
1,4,4,4,4,1,1,-3.06,1,1,56
1,4,4,4,4,1,1,-1.14,2,1,56
1,4,4,4,4,1,1,24.0,5,2,56
1,1,5,0,4,3,3,-2.68,2,1,56
1,1,5,0,4,3,3,0.31,9,0,56
1,1,5,0,4,3,3,32.0,9,0,56
1,4,5,0,1,1,1,-1.98,4,1,56
1,4,5,0,1,1,1,-0.41,5,2,56
1,4,5,0,1,1,1,22.0,5,2,56
1,4,5,0,4,3,3,-1.54,6,2,56
1,4,5,0,4,3,3,0.34,9,0,56
1,4,5,0,4,3,3,27.0,7,2,56
1,8,5,0,4,2,2,-1.56,6,2,56
1,8,5,0,4,2,2,-0.64,4,1,56
1,8,5,0,4,2,2,13.0,1,1,56
1,1,5,0,4,1,1,-1.8,5,2,56
1,1,5,0,4,1,1,-0.67,4,1,56
1,1,5,0,4,1,1,17.0,2,1,56
1,1,5,0,4,2,2,-2.07,4,1,56
1,1,5,0,4,2,2,-0.04,7,2,56
1,1,5,0,4,2,2,18.0,3,1,56
1,5,4,4,4,1,1,-2.76,2,1,56
1,5,4,4,4,1,1,-1.0,3,1,56
1,5,4,4,4,1,1,15.0,1,1,56
1,1,4,4,4,1,1,-3.05,1,1,56
1,1,4,4,4,1,1,-1.27,2,1,56
1,1,4,4,4,1,1,14.0,1,1,56
0,5,2,4,1,1,1,-3.01,1,1,56
0,5,2,4,1,1,1,-1.04,3,1,56
0,5,2,4,1,1,1,14.0,1,1,56
1,1,0,4,4,1,1,-2.2,4,1,56
1,1,0,4,4,1,1,-0.55,4,1,56
1,1,0,4,4,1,1,15.0,1,1,56
1,1,5,2,4,2,2,-2.51,3,1,56
1,1,5,2,4,2,2,0.06,7,2,56
1,1,5,2,4,2,2,30.0,8,0,56
1,4,5,0,0,2,2,-2.92,2,1,56
1,4,5,0,0,2,2,-0.09,7,2,56
1,4,5,0,0,2,2,35.0,10,0,56
1,1,5,0,1,1,1,-2.53,3,1,56
1,1,5,0,1,1,1,-1.0,3,1,56
1,1,5,0,1,1,1,25.0,6,2,56
1,1,5,0,4,4,0,-0.79,9,0,56
1,1,5,0,4,4,0,0.68,10,0,56
1,1,5,0,4,4,0,23.0,5,2,56
1,4,5,0,4,2,2,-2.37,3,1,56
1,4,5,0,4,2,2,-0.27,6,2,56
1,4,5,0,4,2,2,13.0,1,1,56
1,1,5,0,4,3,3,-1.51,6,2,56
1,1,5,0,4,3,3,0.18,8,0,56
1,1,5,0,4,3,3,16.0,2,1,56
1,5,2,4,2,1,1,-3.92,1,1,56
1,5,2,4,2,1,1,-1.83,1,1,56
1,5,2,4,2,1,1,13.0,1,1,56
1,4,5,0,0,1,1,-2.43,3,1,56
1,4,5,0,0,1,1,-0.7,4,1,56
1,4,5,0,0,1,1,18.0,3,1,56
1,1,5,0,4,3,3,-1.48,7,2,56
1,1,5,0,4,3,3,0.24,8,0,56
1,1,5,0,4,3,3,14.0,1,1,56
1,1,5,0,4,3,3,-1.4,7,2,56
1,1,5,0,4,3,3,0.38,9,0,56
1,1,5,0,4,3,3,16.0,2,1,56
1,1,4,4,4,1,1,-3.53,1,1,56
1,1,4,4,4,1,1,-1.12,2,1,56
1,1,4,4,4,1,1,19.0,3,1,56
1,1,4,4,4,2,2,-1.73,6,2,56
1,1,4,4,4,2,2,-0.16,6,2,56
1,1,4,4,4,2,2,19.0,3,1,56
1,4,5,0,4,2,2,-1.52,6,2,56
1,4,5,0,4,2,2,-0.29,6,2,56
1,4,5,0,4,2,2,21.0,4,1,56
1,4,5,0,1,1,1,-4.35,1,1,56
1,4,5,0,1,1,1,-2.79,1,1,56
1,4,5,0,1,1,1,13.0,1,1,56
1,1,5,0,0,4,0,-1.12,8,0,56
1,1,5,0,0,4,0,0.33,9,0,56
1,1,5,0,0,4,0,16.0,2,1,56
1,1,4,5,4,4,0,-0.92,9,0,56
1,1,4,5,4,4,0,0.76,10,0,56
1,1,4,5,4,4,0,23.0,4,1,56
1,5,5,0,4,2,2,-1.48,7,2,56
1,5,5,0,4,2,2,-0.36,5,2,56
1,5,5,0,4,2,2,16.0,2,1,56
1,4,5,0,4,1,1,-2.18,4,1,56
1,4,5,0,4,1,1,-0.37,5,2,56
1,4,5,0,4,1,1,13.0,1,1,56
1,1,5,2,4,2,2,-1.54,6,2,56
1,1,5,2,4,2,2,-0.31,6,2,56
1,1,5,2,4,2,2,20.0,3,1,56
1,1,5,0,4,2,2,-1.93,5,2,56
1,1,5,0,4,2,2,-0.21,6,2,56
1,1,5,0,4,2,2,15.0,1,1,56
1,1,5,0,1,1,1,-2.55,3,1,56
1,1,5,0,1,1,1,-0.99,3,1,56
1,1,5,0,1,1,1,22.0,5,2,56
1,1,4,4,4,1,1,-2.71,2,1,56
1,1,4,4,4,1,1,-0.61,4,1,56
1,1,4,4,4,1,1,18.0,3,1,56
1,5,4,4,4,1,1,-2.48,3,1,56
1,5,4,4,4,1,1,-0.91,3,1,56
1,5,4,4,4,1,1,14.0,1,1,56
1,1,2,4,4,1,1,-2.74,2,1,56
1,1,2,4,4,1,1,-1.03,2,1,56
1,1,2,4,4,1,1,24.0,6,2,56
1,1,5,0,4,2,2,-1.81,5,2,56
1,1,5,0,4,2,2,-0.06,7,2,56
1,1,5,0,4,2,2,20.0,3,1,56
1,1,5,0,4,1,1,-2.37,3,1,56
1,1,5,0,4,1,1,-0.35,5,2,56
1,1,5,0,4,1,1,18.0,3,1,56
1,4,5,0,4,2,2,-2.35,3,1,56
1,4,5,0,4,2,2,-0.29,6,2,56
1,4,5,0,4,2,2,18.0,3,1,56
0,5,4,4,4,1,1,-2.71,2,1,56
0,5,4,4,4,1,1,-1.12,3,1,56
0,5,4,4,4,1,1,12.0,1,1,56
0,4,4,4,4,1,1,-2.58,2,1,56
0,4,4,4,4,1,1,-0.7,5,2,56
0,4,4,4,4,1,1,18.0,3,1,56
0,1,5,0,4,2,2,-1.73,6,2,56
0,1,5,0,4,2,2,-0.15,7,2,56
0,1,5,0,4,2,2,21.0,4,1,56
1,1,5,0,3,3,3,-1.53,6,2,56
1,1,5,0,3,3,3,0.72,10,0,56
1,1,5,0,3,3,3,25.0,6,2,56
1,1,5,0,4,2,2,-1.34,7,2,56
1,1,5,0,4,2,2,-0.08,7,2,56
1,1,5,0,4,2,2,31.0,9,0,56
1,8,5,0,4,3,3,-2.33,3,1,56
1,8,5,0,4,3,3,0.19,8,0,56
1,8,5,0,4,3,3,24.0,6,2,56
1,1,5,0,4,1,1,-1.79,5,2,56
1,1,5,0,4,1,1,-0.77,3,1,56
1,1,5,0,4,1,1,13.0,1,1,56
1,1,5,0,4,1,1,-1.8,5,2,56
1,1,5,0,4,1,1,-0.37,5,2,56
1,1,5,0,4,1,1,17.0,2,1,56
1,1,5,0,4,3,3,-1.39,7,2,56
1,1,5,0,4,3,3,0.16,8,0,56
1,1,5,0,4,3,3,21.0,4,1,56
0,4,5,0,4,2,2,-1.6,6,2,56
0,4,5,0,4,2,2,-0.69,5,2,56
0,4,5,0,4,2,2,13.0,1,1,56
1,1,5,0,4,2,2,-1.62,6,2,56
1,1,5,0,4,2,2,-0.49,5,2,56
1,1,5,0,4,2,2,13.0,1,1,56
1,4,5,0,1,1,1,-3.75,1,1,56
1,4,5,0,1,1,1,-2.22,1,1,56
1,4,5,0,1,1,1,13.0,1,1,56
0,1,5,0,4,3,3,-1.69,6,2,56
0,1,5,0,4,3,3,0.6,10,0,56
0,1,5,0,4,3,3,22.0,5,2,56
1,4,5,0,0,1,1,-4.35,1,1,56
1,4,5,0,0,1,1,-2.77,1,1,56
1,4,5,0,0,1,1,15.0,1,1,56
0,8,5,0,1,1,1,-4.08,1,1,56
0,8,5,0,1,1,1,-2.45,1,1,56
0,8,5,0,1,1,1,12.0,1,1,56
1,1,5,0,3,4,0,-0.73,9,0,56
1,1,5,0,3,4,0,0.82,10,0,56
1,1,5,0,3,4,0,18.0,3,1,56
1,4,5,0,4,1,1,-2.17,4,1,56
1,4,5,0,4,1,1,-0.41,5,2,56
1,4,5,0,4,1,1,24.0,6,2,56
1,1,5,0,4,1,1,-2.48,3,1,56
1,1,5,0,4,1,1,-0.71,4,1,56
1,1,5,0,4,1,1,24.0,6,2,56
1,4,5,0,4,1,1,-3.56,1,1,56
1,4,5,0,4,1,1,-1.84,1,1,56
1,4,5,0,4,1,1,18.0,3,1,56
1,4,5,0,4,4,0,-0.85,9,0,56
1,4,5,0,4,4,0,0.61,9,0,56
1,4,5,0,4,4,0,16.0,2,1,56
1,5,5,0,1,1,1,-4.5,1,1,56
1,5,5,0,1,1,1,-2.82,1,1,56
1,5,5,0,1,1,1,12.0,1,1,56
1,1,5,0,1,4,0,-0.62,10,0,56
1,1,5,0,1,4,0,0.64,10,0,56
1,1,5,0,1,4,0,25.0,6,2,56
0,1,5,0,4,1,1,-2.77,2,1,56
0,1,5,0,4,1,1,-1.68,1,1,56
0,1,5,0,4,1,1,14.0,1,1,56
1,1,5,0,4,2,2,-1.54,6,2,56
1,1,5,0,4,2,2,-0.2,6,2,56
1,1,5,0,4,2,2,21.0,4,1,56
1,1,5,0,4,1,1,-2.4,3,1,56
1,1,5,0,4,1,1,-0.32,5,2,56
1,1,5,0,4,1,1,26.0,7,2,56
1,4,5,0,4,1,1,-2.9,2,1,56
1,4,5,0,4,1,1,-1.55,1,1,56
1,4,5,0,4,1,1,15.0,1,1,56
1,1,5,0,1,1,1,-3.25,1,1,56
1,1,5,0,1,1,1,-1.39,1,1,56
1,1,5,0,1,1,1,20.0,3,1,56
1,1,5,0,4,1,1,-1.86,5,2,56
1,1,5,0,4,1,1,-0.74,4,1,56
1,1,5,0,4,1,1,13.0,1,1,56
1,4,5,0,4,4,0,-1.0,8,0,56
1,4,5,0,4,4,0,0.52,9,0,56
1,4,5,0,4,4,0,15.0,1,1,56
1,4,5,0,2,1,1,-2.2,4,1,56
1,4,5,0,2,1,1,-0.58,4,1,56
1,4,5,0,2,1,1,20.0,3,1,56
1,8,5,0,1,1,1,-3.61,1,1,56
1,8,5,0,1,1,1,-2.13,1,1,56
1,8,5,0,1,1,1,15.0,1,1,56
0,1,5,0,1,1,1,-2.76,2,1,56
0,1,5,0,1,1,1,-1.45,2,1,56
0,1,5,0,1,1,1,11.0,1,1,56
1,5,5,0,1,1,1,-4.08,1,1,56
1,5,5,0,1,1,1,-2.74,1,1,56
1,5,5,0,1,1,1,12.0,1,1,56
0,1,5,0,4,1,1,-3.03,1,1,56
0,1,5,0,4,1,1,-1.52,2,1,56
0,1,5,0,4,1,1,16.0,2,1,56
1,1,5,0,4,1,1,-1.91,5,2,56
1,1,5,0,4,1,1,-0.49,5,2,56
1,1,5,0,4,1,1,16.0,2,1,56
1,1,5,0,4,1,1,-1.75,5,2,56
1,1,5,0,4,1,1,-0.36,5,2,56
1,1,5,0,4,1,1,18.0,3,1,56
0,5,4,4,1,1,1,-2.92,2,1,56
0,5,4,4,1,1,1,-1.09,3,1,56
0,5,4,4,1,1,1,15.0,1,1,56
0,4,2,4,0,1,1,-3.87,1,1,56
0,4,2,4,0,1,1,-1.77,1,1,56
0,4,2,4,0,1,1,24.0,6,2,56
1,4,4,4,4,1,1,-3.5,1,1,56
1,4,4,4,4,1,1,-0.71,4,1,56
1,4,4,4,4,1,1,19.0,3,1,56
1,5,5,0,4,1,1,-1.95,5,2,56
1,5,5,0,4,1,1,-0.96,3,1,56
1,5,5,0,4,1,1,11.0,1,1,56
1,8,5,0,2,1,1,-3.33,1,1,56
1,8,5,0,2,1,1,-1.48,1,1,56
1,8,5,0,2,1,1,14.0,1,1,56
1,1,5,0,4,2,2,-1.76,5,2,56
1,1,5,0,4,2,2,-0.29,6,2,56
1,1,5,0,4,2,2,20.0,3,1,56
1,1,5,0,4,4,0,-0.69,9,0,56
1,1,5,0,4,4,0,0.85,10,0,56
1,1,5,0,4,4,0,37.0,10,0,56
1,4,4,4,0,1,1,-3.87,1,1,56
1,4,4,4,0,1,1,-1.68,1,1,56
1,4,4,4,0,1,1,18.0,3,1,56
0,4,5,2,4,3,3,-1.23,8,0,56
0,4,5,2,4,3,3,-0.44,6,2,56
0,4,5,2,4,3,3,11.0,1,1,56
1,4,4,4,1,2,2,-2.32,3,1,56
1,4,4,4,1,2,2,-0.18,6,2,56
1,4,4,4,1,2,2,21.0,4,1,56
1,4,4,4,0,1,1,-3.04,1,1,56
1,4,4,4,0,1,1,-1.03,2,1,56
1,4,4,4,0,1,1,22.0,5,2,56
1,1,5,0,4,1,1,-2.56,2,1,56
1,1,5,0,4,1,1,-1.38,2,1,56
1,1,5,0,4,1,1,16.0,2,1,56
1,1,4,4,1,2,2,-2.55,3,1,56
1,1,4,4,1,2,2,0.07,7,2,56
1,1,4,4,1,2,2,30.0,8,0,56
1,1,5,0,4,2,2,-2.17,4,1,56
1,1,5,0,4,2,2,0.01,7,2,56
1,1,5,0,4,2,2,33.0,9,0,56
1,4,5,0,4,3,3,-2.41,3,1,56
1,4,5,0,4,3,3,0.25,8,0,56
1,4,5,0,4,3,3,25.0,6,2,56
0,4,4,4,4,1,1,-2.8,2,1,56
0,4,4,4,4,1,1,-0.99,4,1,56
0,4,4,4,4,1,1,13.0,1,1,56
1,4,5,0,1,1,1,-2.13,4,1,56
1,4,5,0,1,1,1,-0.76,3,1,56
1,4,5,0,1,1,1,15.0,1,1,56
1,1,5,0,4,4,0,-1.11,8,0,56
1,1,5,0,4,4,0,0.3,8,0,56
1,1,5,0,4,4,0,34.0,10,0,56
0,1,2,4,4,2,2,-2.23,4,1,56
0,1,2,4,4,2,2,-0.54,6,2,56
0,1,2,4,4,2,2,18.0,3,1,56
1,4,5,0,4,1,1,-2.69,2,1,56
1,4,5,0,4,1,1,-0.48,5,2,56
1,4,5,0,4,1,1,26.0,7,2,56
1,1,5,0,3,1,1,-1.84,5,2,56
1,1,5,0,3,1,1,-0.54,4,1,56
1,1,5,0,3,1,1,14.0,1,1,56
1,5,5,0,2,1,1,-3.35,1,1,56
1,5,5,0,2,1,1,-1.42,1,1,56
1,5,5,0,2,1,1,12.0,1,1,56
1,5,2,4,4,1,1,-2.62,2,1,56
